dataset,method,sample_size,sample_pct,dataset_size,recall,precision,igd,hv_diff,pred_pf_size,true_pf_size,repeat
SS-M,Diversity,100,11.57,864,0.2857142857142857,0.6666666666666666,0.003664366678375295,9.99999999999978e-05,3,7,1
SS-M,Diversity,100,11.57,864,0.14285714285714285,0.3333333333333333,0.003970782204304898,0.0001999999999999956,3,7,2
SS-M,Diversity,100,11.57,864,0.42857142857142855,1.0,0.004053164430924802,0.0001000100010000978,3,7,3
SS-M,Diversity,100,11.57,864,0.0,0.0,0.0028316644695268443,0.0,4,7,4
SS-M,Diversity,100,11.57,864,0.14285714285714285,0.5,0.005340030371665085,0.0,2,7,5
SS-M,Diversity,100,11.57,864,0.14285714285714285,0.3333333333333333,0.003044297320727901,0.0,3,7,6
SS-M,Diversity,100,11.57,864,0.0,0.0,0.00357196201199,0.0,5,7,7
SS-M,Diversity,100,11.57,864,0.2857142857142857,0.6666666666666666,0.003217234293779237,9.99999999999978e-05,3,7,8
SS-M,Diversity,100,11.57,864,0.2857142857142857,0.5,0.0026683495010161634,0.0,4,7,9
SS-M,Diversity,100,11.57,864,0.42857142857142855,1.0,0.004297490652289104,0.0,3,7,10
SS-M,Diversity,100,11.57,864,0.0,0.0,0.0024463151316687463,0.0001000100010000978,4,7,11
SS-M,Diversity,100,11.57,864,0.14285714285714285,0.3333333333333333,0.004262960181994812,0.0,3,7,12
SS-M,Diversity,100,11.57,864,0.14285714285714285,0.2,0.002722979246803745,0.0,5,7,13
SS-M,Diversity,100,11.57,864,0.14285714285714285,0.5,0.0044478482696091795,0.0,2,7,14
SS-M,Diversity,100,11.57,864,0.42857142857142855,0.75,0.003082405031029911,0.0,4,7,15
SS-M,Diversity,100,11.57,864,0.14285714285714285,0.07142857142857142,0.002044389087473658,9.99999999999978e-05,14,7,16
SS-M,Diversity,100,11.57,864,0.2857142857142857,0.5,0.0037177776922802017,0.0001000100010000978,4,7,17
SS-M,Diversity,100,11.57,864,0.2857142857142857,0.6666666666666666,0.0035039909870763246,0.0,3,7,18
SS-M,Diversity,100,11.57,864,0.2857142857142857,0.5,0.002729978266847987,0.0,4,7,19
SS-M,LHS,100,11.57,864,0.14285714285714285,0.1,0.0018929882883225984,0.0001999999999999956,10,7,0
SS-M,LHS,100,11.57,864,0.0,0.0,0.004638848003874713,0.0002000400080015959,2,7,1
SS-M,LHS,100,11.57,864,0.14285714285714285,0.3333333333333333,0.003836567480110888,0.0,3,7,2
SS-M,LHS,100,11.57,864,0.0,0.0,0.003798385776796676,0.0002999999999999934,3,7,3
SS-M,LHS,100,11.57,864,0.2857142857142857,0.25,0.0026758272044527104,0.0001999999999999956,8,7,4
SS-M,LHS,100,11.57,864,0.2857142857142857,0.6666666666666666,0.004298918905017899,0.0,3,7,5
SS-M,LHS,100,11.57,864,0.2857142857142857,0.4,0.002664914002444267,0.0,5,7,6
SS-M,LHS,100,11.57,864,0.14285714285714285,0.14285714285714285,0.0023995934405527273,9.99999999999978e-05,7,7,7
SS-M,LHS,100,11.57,864,0.2857142857142857,0.6666666666666666,0.0040690019513834694,9.99999999999978e-05,3,7,8
SS-M,LHS,100,11.57,864,0.14285714285714285,1.0,0.006167638127831736,0.0001000100010000978,1,7,9
SS-M,LHS,100,11.57,864,0.14285714285714285,0.16666666666666666,0.0024280438820200494,0.0001999999999999956,6,7,10
