dataset,method,sample_size,recall_mean,recall_median,recall_std,recall_min,recall_max,precision_mean,precision_median,precision_std,precision_min,precision_max,igd_mean,igd_median,igd_std,igd_min,igd_max,hv_diff_mean,hv_diff_median,hv_diff_std,hv_diff_min,hv_diff_max,sample_pct_first,dataset_size_first,pred_pf_size_mean,true_pf_size_first
accessories,Stratified,200,0.3026,0.289,0.2063,0.0586,0.6817,0.8747,0.9215,0.1208,0.5832,0.9756,0.03,0.0249,0.0203,0.0072,0.0736,0.0945,0.0145,0.1336,0.0011,0.3563,17.84,1121,258.75,666
accessories,Stratified,250,0.2242,0.2177,0.1177,0.0871,0.4474,0.9377,0.9528,0.0426,0.8052,0.985,0.0169,0.0115,0.016,0.0017,0.0601,0.0437,0.0129,0.0793,0.0003,0.2717,22.3,1121,160.35,666
home_data,ActiveLearning,50,0.1833,0.1667,0.1313,0.0,0.5,0.1804,0.042,0.3178,0.0,1.0,0.4047,0.3766,0.1263,0.267,0.8437,0.3121,0.3391,0.187,0.0093,0.6621,3.42,1460,31.45,6
home_data,ActiveLearning,100,0.475,0.5,0.1647,0.1667,0.8333,0.7361,1.0,0.3816,0.0667,1.0,0.249,0.2384,0.0775,0.1136,0.5237,0.1389,0.0311,0.1743,0.003,0.4721,6.85,1460,7.1,6
home_data,ActiveLearning,200,0.575,0.5,0.1008,0.5,0.8333,1.0,1.0,0.0,1.0,1.0,0.1921,0.2073,0.0438,0.0775,0.2488,0.0244,0.0203,0.0185,0.0006,0.0759,13.7,1460,3.45,6
home_data,ActiveLearning,250,0.55,0.5,0.0784,0.5,0.6667,1.0,1.0,0.0,1.0,1.0,0.1914,0.2098,0.0442,0.099,0.2386,0.0241,0.0233,0.0113,0.0056,0.0475,17.12,1460,3.3,6
home_data,Clustering,50,0.45,0.5,0.1631,0.1667,0.6667,0.0348,0.0284,0.024,0.0089,0.0909,0.3964,0.3948,0.082,0.2693,0.5768,0.5959,0.6301,0.1239,0.2782,0.8123,3.42,1460,101.95,6
home_data,Clustering,100,0.3167,0.3333,0.2016,0.0,0.8333,0.3105,0.0489,0.4071,0.0,1.0,0.4624,0.3936,0.1806,0.2654,0.8437,0.4625,0.4333,0.1557,0.0934,0.7302,6.85,1460,45.05,6
home_data,Clustering,200,0.3167,0.3333,0.1068,0.1667,0.5,0.4433,0.45,0.1436,0.1,0.75,0.2824,0.2652,0.093,0.1577,0.5073,0.1572,0.0303,0.1739,0.006,0.4907,13.7,1460,5.35,6
home_data,Clustering,250,0.3417,0.3333,0.1265,0.0,0.5,0.4537,0.5,0.1457,0.0,0.6667,0.2302,0.2198,0.052,0.1524,0.3482,0.0672,0.0221,0.1128,0.0002,0.3867,17.12,1460,6.65,6
